customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
000383021a8cf9a542b9c855b42f99aa76374873661e831f56e225c58bd088ac,,,ACTIVE,NONE,30.0,110c914bcac2c21cff810ea4be5bb91580ce3c8ffa431e66f209432f410a2924
007fc3638a2b9362c21bd53744fb08168939012636db52fb097fb60c2063d6e7,1.0,1.0,ACTIVE,Regularly,21.0,44148e1f5f23d3dd6a8155334450d406ad0f18e3aeb886aca4c91d7de3301466
012cc72686e288fc6a1ce03361c5e2cedaf1b38a4a929436ab4b895fb46400ca,1.0,1.0,ACTIVE,Regularly,26.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
01837c5643f9afc91cde10997749a9df75275b4d0ca965b2880957cb2525fe9e,1.0,1.0,ACTIVE,Regularly,29.0,836fa900d23ee3d989a5750707e41f91828586902b91382d3f0fdcbd2ecd4640
01e2cc6a88561c7765fdef3c0fae547791d6db3d737824370a134f6b1513b928,1.0,1.0,ACTIVE,Regularly,49.0,f354e0e524d94df176d7c05f3e6c8f199ba79be881461a6892ed1984fdb03c7e
022d2618b46cfe0d767356e67acade3f85313b4ca1540963233f05a555285ded,,,ACTIVE,NONE,50.0,dd47197ae34db55673d9209e2a812441d5a2de6ec4edc08f9f87161f83f8914d
02656b4183237b2188d10824db0b9348af8d94555633946a6e25ca4732360b68,1.0,1.0,ACTIVE,Regularly,51.0,1c8e6cc574f60542507041fb72a06e18162bb118350ee985d42ef49ea6b8b7e3
0276f6bb5175612af49d1d31f964673fb6ff417824254f887e39fbfb230922b8,1.0,1.0,ACTIVE,Regularly,38.0,acd7cefa3124f18da788e6817f44c0b841fe481b30944d59ac4021691f4a783c
02b05ddc109b1035256c0c1212bd44cf71f880b7d74e2f2e4ce84a1c6fe3d409,1.0,1.0,ACTIVE,Regularly,26.0,0a7cfd21bb1b46bf6f197a5391ead2c72cf670a226c64d262e5cb7b228ba991c
02c8f3921346d3909953afebbd12879158a34491ade0173f40ad55a625a0e273,,,ACTIVE,NONE,26.0,43b0d1fbd3a80c02d745509e0d2b6f94fbe8ad01af1cfd47b470a9b9be85a885
02eca344b1b1b083e145d56cdd48ca833ee70f61d932f17bec8197adc5845237,,,ACTIVE,NONE,55.0,3572823d866241437317539250957e6be3af887a203fe854f0f4727662dd6d8a
03591bb21487b760076e904a40816d6eff25ee01bab30917f9489faa55660b45,,,ACTIVE,NONE,28.0,3f46e39a5e277ef345a474fff08ed20ef3c5db3ad86b9e7fdc1930f0570d9f60
04592be5491238c5e8e86768018b20de595de69b953eb6012540ce05077415b3,1.0,1.0,ACTIVE,Regularly,25.0,e185c6b97c4dcc50cd74d7342b639c5c81e08c28a679623982619e992dc41145
04852813fb6ee2566b0e734606fa3c5a4011709dd996a9b856a436573fa76750,1.0,1.0,ACTIVE,Regularly,19.0,7264c236f4ff226e7263b346afb12e324b3a464e3ffcd4500e33a8c3186b19a7
04add90a4a886f49351219f91acc88705cd9034b752bacda777246d673bc192d,,,ACTIVE,NONE,32.0,2f9db2be2480ecbc3bf41f373dde4a74c16e33019bd27485dde54f1df3bc7865
04b84a0f9e448555906377ebe16d99c456fc20ec4e31859709f86149b2c24b32,1.0,1.0,ACTIVE,Regularly,61.0,83f018cf5ea4c3becd159004e002c887fe43414066e45c0977b46f05f01d7035
0522b2b78bb62062a128ca4a3a7ed162b5c9647411a98855811b0d275c05fb80,,,ACTIVE,NONE,32.0,2f035cadfa599fff487a0ea2c4757102ac9ec7b92b5ece788e77bdf1a44691c6
0536f13ff5280045ff9559e75ed2fed7b6b5d422a94a94a4cebf605e626e0f1a,,,ACTIVE,NONE,27.0,797ab4e3a015038164dd9ed29d8d77a8d01ac91c8aec756d8ad19152a4b70073
05ccf3b007ac0bf957740fae0f5061fae0dcbd5d1d3ad505a7bf217f9a44e73b,,,ACTIVE,NONE,30.0,c717aeee0b58d71ce473a28d9866a646bfc8f88478ac1e58d2d82f2a8fbbaacb
05f3c1bb52d3adb820ce3856cbd28cb08f454595ea0c90c5e1f0dd922552486b,,,ACTIVE,NONE,50.0,1f8fa7e89bbc9080781c238759b8f1cf09a0ccb0277b6ff2010a67f2984209ff
0618a12c211810585040405e673107d0b798318024fb8ccddff0442e6b473e64,,,ACTIVE,NONE,24.0,ac1bb66e7d83603c03f693aad73b1d8117fba3800b06dc2002a9b0cc0ddf3ebf
063682f9c8bcb796a14cf2b62520d72455b60ed11e394cd42f4124cf5468b8c4,,,ACTIVE,NONE,25.0,043366561ffc481e950d01466cc2b6ca2763f4d7682294e635935b20a050548b
